"","new_id","timestamp","value","accumulate","out_or_in","station","lat","long","province"
"86",52,"1578700800",0,1,"out","上海虹桥",31.19418,121.320569,"上海"
"87",265,"1578700800",0,1,"out","沈阳",41.795132,123.393331,"辽宁"
"88",772,"1578700800",0,1,"out","怀化南",27.511489,109.994749,"湖南"
"89",823,"1578700800",0,4,"out","武汉",30.607096,114.42438,"湖北"
"90",862,"1578700800",0,2,"out","长沙",28.193949,113.013032,"湖南"
"91",911,"1578700800",0,1,"out","绥化",46.644663,127.015618,"黑龙江"
"92",961,"1578700800",0,2,"out","汉口",30.619097,114.254389,"湖北"
"93",962,"1578700800",2,6,"out","武昌",30.528422,114.317801,"湖北"
"94",990,"1578700800",0,1,"out","麻城",31.146285,114.96389,"湖北"
"95",1055,"1578700800",0,1,"out","南京南",31.968681,118.797932,"江苏"
"96",1105,"1578700800",0,2,"out","南昌",28.662028,115.919161,"江西"
"97",1358,"1578700800",2,2,"out","信阳",32.128928,114.082245,"河南"
"98",1435,"1578700800",2,2,"out","高碑店",39.328714,115.858912,"河北"
"99",1725,"1578700800",2,2,"out","郑州",34.746377,113.65971,"河南"
"100",2205,"1578700800",1,1,"out","广州南",22.988726,113.269446,"广东"
"101",2287,"1578700800",0,1,"out","深圳东",22.601157,114.118789,"广东"
"102",5277,"1578700800",0,1,"out","防城港",21.629406,108.357342,"广西"
"103",6371,"1578700800",0,1,"out","杭州东",30.291066,120.212918,"浙江"
"104",6489,"1578700800",0,1,"out","吐鲁番北",43.02236,89.111139,"新疆维吾尔自治区"
"105",6523,"1578700800",0,1,"out","库车",41.694913,83.016589,"新疆维吾尔自治区"
"106",6663,"1578700800",1,1,"out","石柱县",29.965289,108.097576,"重庆"
"107",6698,"1578700800",1,1,"out","涪陵北",29.768328,107.276696,"重庆"
"108",7517,"1578700800",1,1,"out","十堰东",32.50921,111.082196,"河北"
"109",7592,"1578700800",0,1,"out","萧县北",34.236513,116.941524,"安徽"
"110",0,"1578787200",1,17,"out",NA,0,0,NA
"111",52,"1578787200",0,1,"out","上海虹桥",31.19418,121.320569,"上海"
"112",265,"1578787200",0,1,"out","沈阳",41.795132,123.393331,"辽宁"
"113",772,"1578787200",0,1,"out","怀化南",27.511489,109.994749,"湖南"
"114",823,"1578787200",0,4,"out","武汉",30.607096,114.42438,"湖北"
"115",857,"1578787200",2,2,"out","株洲",27.835476,113.15673,"湖南"
"116",862,"1578787200",0,2,"out","长沙",28.193949,113.013032,"湖南"
"117",911,"1578787200",0,1,"out","绥化",46.644663,127.015618,"黑龙江"
"118",961,"1578787200",1,3,"out","汉口",30.619097,114.254389,"湖北"
"119",962,"1578787200",2,8,"out","武昌",30.528422,114.317801,"湖北"
"120",969,"1578787200",1,1,"out","荆州",30.369761,112.213011,"湖北"
"121",990,"1578787200",0,1,"out","麻城",31.146285,114.96389,"湖北"
"122",1055,"1578787200",0,1,"out","南京南",31.968681,118.797932,"江苏"
"123",1105,"1578787200",0,2,"out","南昌",28.662028,115.919161,"江西"
"124",1358,"1578787200",0,2,"out","信阳",32.128928,114.082245,"河南"
"125",1435,"1578787200",0,2,"out","高碑店",39.328714,115.858912,"河北"
"126",1725,"1578787200",0,2,"out","郑州",34.746377,113.65971,"河南"
"127",2205,"1578787200",0,1,"out","广州南",22.988726,113.269446,"广东"
"128",2208,"1578787200",1,1,"out","广州",23.14891,113.257569,"广东"
"129",2287,"1578787200",0,1,"out","深圳东",22.601157,114.118789,"广东"
"130",5277,"1578787200",0,1,"out","防城港",21.629406,108.357342,"广西"
"131",6371,"1578787200",0,1,"out","杭州东",30.291066,120.212918,"浙江"
"132",6489,"1578787200",0,1,"out","吐鲁番北",43.02236,89.111139,"新疆维吾尔自治区"
"133",6523,"1578787200",0,1,"out","库车",41.694913,83.016589,"新疆维吾尔自治区"
"134",6663,"1578787200",0,1,"out","石柱县",29.965289,108.097576,"重庆"
"135",6698,"1578787200",0,1,"out","涪陵北",29.768328,107.276696,"重庆"
"136",7517,"1578787200",0,1,"out","十堰东",32.50921,111.082196,"河北"
"137",7592,"1578787200",0,1,"out","萧县北",34.236513,116.941524,"安徽"
"138",0,"1578873600",1,18,"out",NA,0,0,NA
"139",52,"1578873600",0,1,"out","上海虹桥",31.19418,121.320569,"上海"
"140",265,"1578873600",0,1,"out","沈阳",41.795132,123.393331,"辽宁"
"141",507,"1578873600",1,1,"out","大连北",39.016736,121.607407,"辽宁"
"142",772,"1578873600",0,1,"out","怀化南",27.511489,109.994749,"湖南"
"143",823,"1578873600",3,7,"out","武汉",30.607096,114.42438,"湖北"
"144",857,"1578873600",0,2,"out","株洲",27.835476,113.15673,"湖南"
"145",859,"1578873600",2,2,"out","长沙南",28.146991,113.065259,"湖南"
"146",862,"1578873600",0,2,"out","长沙",28.193949,113.013032,"湖南"
"147",911,"1578873600",0,1,"out","绥化",46.644663,127.015618,"黑龙江"
"148",961,"1578873600",5,8,"out","汉口",30.619097,114.254389,"湖北"
"149",962,"1578873600",1,9,"out","武昌",30.528422,114.317801,"湖北"
"150",969,"1578873600",1,2,"out","荆州",30.369761,112.213011,"湖北"
"151",990,"1578873600",0,1,"out","麻城",31.146285,114.96389,"湖北"
"152",1028,"1578873600",2,2,"out","徐州",34.265367,117.207387,"江苏"
"153",1033,"1578873600",1,1,"out","无锡",31.587145,120.305513,"江苏"
"154",1055,"1578873600",0,1,"out","南京南",31.968681,118.797932,"江苏"
"155",1105,"1578873600",0,2,"out","南昌",28.662028,115.919161,"江西"
"156",1358,"1578873600",1,3,"out","信阳",32.128928,114.082245,"河南"
"157",1435,"1578873600",2,4,"out","高碑店",39.328714,115.858912,"河北"
"158",1725,"1578873600",1,3,"out","郑州",34.746377,113.65971,"河南"
"159",1964,"1578873600",2,2,"out","阜阳",32.91468,115.868148,"安徽"
"160",2205,"1578873600",0,1,"out","广州南",22.988726,113.269446,"广东"
"161",2208,"1578873600",0,1,"out","广州",23.14891,113.257569,"广东"
"162",2287,"1578873600",0,1,"out","深圳东",22.601157,114.118789,"广东"
"163",5277,"1578873600",0,1,"out","防城港",21.629406,108.357342,"广西"
"164",6371,"1578873600",0,1,"out","杭州东",30.291066,120.212918,"浙江"
"165",6489,"1578873600",0,1,"out","吐鲁番北",43.02236,89.111139,"新疆维吾尔自治区"
"166",6523,"1578873600",0,1,"out","库车",41.694913,83.016589,"新疆维吾尔自治区"
"167",6663,"1578873600",0,1,"out","石柱县",29.965289,108.097576,"重庆"
"168",6698,"1578873600",0,1,"out","涪陵北",29.768328,107.276696,"重庆"
"169",7517,"1578873600",0,1,"out","十堰东",32.50921,111.082196,"河北"
"170",7592,"1578873600",0,1,"out","萧县北",34.236513,116.941524,"安徽"
"171",0,"1578960000",1,19,"out",NA,0,0,NA
"172",52,"1578960000",0,1,"out","上海虹桥",31.19418,121.320569,"上海"
"173",265,"1578960000",0,1,"out","沈阳",41.795132,123.393331,"辽宁"
"174",507,"1578960000",0,1,"out","大连北",39.016736,121.607407,"辽宁"
"175",772,"1578960000",0,1,"out","怀化南",27.511489,109.994749,"湖南"
"176",823,"1578960000",5,12,"out","武汉",30.607096,114.42438,"湖北"
"177",857,"1578960000",0,2,"out","株洲",27.835476,113.15673,"湖南"
"178",859,"1578960000",0,2,"out","长沙南",28.146991,113.065259,"湖南"
"179",862,"1578960000",0,2,"out","长沙",28.193949,113.013032,"湖南"
"180",911,"1578960000",0,1,"out","绥化",46.644663,127.015618,"黑龙江"
"181",961,"1578960000",7,15,"out","汉口",30.619097,114.254389,"湖北"
"182",962,"1578960000",1,10,"out","武昌",30.528422,114.317801,"湖北"
"183",969,"1578960000",0,2,"out","荆州",30.369761,112.213011,"湖北"
