id,timestamp,out_or_in,date_accumulate,name_simple,lat,long,state
803,1579824000,out,1,803,30.541845,113.812926,湖北
804,1579737600,out,1,804,30.954963,113.92926,湖北
804,1579824000,out,2,804,30.954963,113.92926,湖北
805,1579132800,out,3,805,31.256575,113.6951,湖北
806,1579651200,out,1,806,31.021656,113.738707,湖北
812,1579046400,out,1,812,32.058011,112.1548,湖北
812,1579392000,out,3,812,32.058011,112.1548,湖北
812,1579737600,out,5,812,32.058011,112.1548,湖北
818,1579737600,out,1,818,29.899117,114.30202,湖北
823,1577577600,out,2,823,30.607096,114.42438,湖北
823,1578355200,out,3,823,30.607096,114.42438,湖北
823,1578528000,out,4,823,30.607096,114.42438,湖北
823,1578873600,out,7,823,30.607096,114.42438,湖北
823,1578960000,out,12,823,30.607096,114.42438,湖北
823,1579046400,out,16,823,30.607096,114.42438,湖北
823,1579132800,out,26,823,30.607096,114.42438,湖北
823,1579219200,out,35,823,30.607096,114.42438,湖北
823,1579305600,out,53,823,30.607096,114.42438,湖北
823,1579392000,out,73,823,30.607096,114.42438,湖北
823,1579478400,out,113,823,30.607096,114.42438,湖北
823,1579564800,out,142,823,30.607096,114.42438,湖北
823,1579651200,out,166,823,30.607096,114.42438,湖北
823,1579737600,out,186,823,30.607096,114.42438,湖北
823,1579824000,out,187,823,30.607096,114.42438,湖北
823,1580342400,out,188,823,30.607096,114.42438,湖北
857,1578787200,out,2,857,27.835476,113.15673,湖南
859,1578873600,out,2,859,28.146991,113.065259,湖南
859,1579392000,out,3,859,28.146991,113.065259,湖南
859,1579478400,out,4,859,28.146991,113.065259,湖南
859,1579564800,out,7,859,28.146991,113.065259,湖南
859,1579651200,out,13,859,28.146991,113.065259,湖南
859,1579737600,out,18,859,28.146991,113.065259,湖南
859,1580342400,out,20,859,28.146991,113.065259,湖南
859,1580428800,out,22,859,28.146991,113.065259,湖南
859,1580601600,out,23,859,28.146991,113.065259,湖南
862,1577404800,out,2,862,28.193949,113.013032,湖南
862,1579132800,out,5,862,28.193949,113.013032,湖南
862,1579305600,out,6,862,28.193949,113.013032,湖南
865,1579305600,out,1,865,29.36625,113.208067,湖南
865,1579651200,out,2,865,29.36625,113.208067,湖南
865,1579737600,out,3,865,29.36625,113.208067,湖南
865,1580515200,out,4,865,29.36625,113.208067,湖南
865,1580601600,out,5,865,29.36625,113.208067,湖南
874,1579305600,out,1,874,26.454109,111.570947,湖南
874,1579478400,out,3,874,26.454109,111.570947,湖南
885,1580342400,out,1,885,27.271428,111.750195,湖南
888,1579219200,out,1,888,27.574053,111.504501,湖南
905,1580428800,out,1,905,46.887585,127.503445,黑龙江
911,1578528000,out,1,911,46.644663,127.015618,黑龙江
961,1578268800,out,1,961,30.619097,114.254389,湖北
961,1578355200,out,2,961,30.619097,114.254389,湖北
961,1578787200,out,3,961,30.619097,114.254389,湖北
961,1578873600,out,8,961,30.619097,114.254389,湖北
961,1578960000,out,15,961,30.619097,114.254389,湖北
961,1579046400,out,21,961,30.619097,114.254389,湖北
961,1579132800,out,35,961,30.619097,114.254389,湖北
961,1579219200,out,49,961,30.619097,114.254389,湖北
961,1579305600,out,71,961,30.619097,114.254389,湖北
961,1579392000,out,88,961,30.619097,114.254389,湖北
961,1579478400,out,108,961,30.619097,114.254389,湖北
961,1579564800,out,133,961,30.619097,114.254389,湖北
961,1579651200,out,152,961,30.619097,114.254389,湖北
961,1579737600,out,155,961,30.619097,114.254389,湖北
961,1579824000,out,156,961,30.619097,114.254389,湖北
962,1578182400,out,1,962,30.528422,114.317801,湖北
962,1578355200,out,2,962,30.528422,114.317801,湖北
962,1578614400,out,4,962,30.528422,114.317801,湖北
962,1578700800,out,6,962,30.528422,114.317801,湖北
962,1578787200,out,8,962,30.528422,114.317801,湖北
962,1578873600,out,9,962,30.528422,114.317801,湖北
962,1578960000,out,10,962,30.528422,114.317801,湖北
962,1579046400,out,20,962,30.528422,114.317801,湖北
962,1579132800,out,25,962,30.528422,114.317801,湖北
962,1579219200,out,37,962,30.528422,114.317801,湖北
962,1579305600,out,58,962,30.528422,114.317801,湖北
962,1579392000,out,91,962,30.528422,114.317801,湖北
962,1579478400,out,114,962,30.528422,114.317801,湖北
962,1579564800,out,129,962,30.528422,114.317801,湖北
962,1579651200,out,154,962,30.528422,114.317801,湖北
962,1579737600,out,160,962,30.528422,114.317801,湖北
964,1579564800,out,1,964,30.427844,113.456546,湖北
964,1579651200,out,3,964,30.427844,113.456546,湖北
965,1579392000,out,3,965,31.72177,113.417234,湖北
967,1579651200,out,2,967,32.603598,110.781619,湖北
969,1578787200,out,1,969,30.369761,112.213011,湖北
969,1578873600,out,2,969,30.369761,112.213011,湖北
969,1579824000,out,3,969,30.369761,112.213011,湖北
973,1579132800,out,1,973,31.051049,112.211897,湖北
978,1579824000,out,1,978,30.121022,115.00032,湖北
987,1579737600,out,1,987,30.50754,114.985344,湖北
988,1579737600,out,3,988,31.192731,114.991169,湖北
990,1578528000,out,1,990,31.146285,114.96389,湖北
990,1578960000,out,3,990,31.146285,114.96389,湖北
990,1579564800,out,5,990,31.146285,114.96389,湖北
990,1579737600,out,8,990,31.146285,114.96389,湖北
1000,1579478400,out,1,1000,30.362469,114.866603,湖北
1025,1579392000,out,1,1025,34.26687,117.303151,江苏
1025,1579478400,out,2,1025,34.26687,117.303151,江苏
1025,1579651200,out,3,1025,34.26687,117.303151,江苏
1025,1579737600,out,4,1025,34.26687,117.303151,江苏
1028,1578873600,out,2,1028,34.265367,117.207387,江苏
1033,1578873600,out,1,1033,31.587145,120.305513,江苏
1055,1578614400,out,1,1055,31.968681,118.797932,江苏
1055,1579046400,out,2,1055,31.968681,118.797932,江苏
1055,1579305600,out,3,1055,31.968681,118.797932,江苏
1055,1579651200,out,6,1055,31.968681,118.797932,江苏
1055,1580169600,out,10,1055,31.968681,118.797932,江苏
1077,1579478400,out,1,1077,43.992884,125.700132,吉林
1086,1579564800,out,3,1086,43.911812,125.324188,吉林
1086,1579737600,out,4,1086,43.911812,125.324188,吉林
1087,1579651200,out,1,1087,43.877608,125.199952,吉林
1094,1579737600,out,1,1094,28.490266,118.007675,江西
1105,1578528000,out,2,1105,28.662028,115.919161,江西
1105,1580428800,out,4,1105,28.662028,115.919161,江西
1108,1579132800,out,1,1108,28.62249,115.792614,江西
1108,1579392000,out,2,1108,28.62249,115.792614,江西
1108,1579478400,out,3,1108,28.62249,115.792614,江西
1109,1579824000,out,1,1109,29.704675,116.005874,江西
1119,1579219200,out,1,1119,27.105267,115.02108,江西
1131,1579910400,out,1,1131,25.439286,114.424578,江西
1138,1579651200,out,1,1138,27.286186,116.599617,江西
1148,1579564800,out,2,1148,32.389628,119.351134,江苏
1150,1580342400,out,4,1150,33.3825,120.174028,江苏
1267,1579305600,out,1,1267,42.534818,125.685059,吉林
1317,1579046400,out,2,1317,37.06985,114.492925,河北
1321,1579564800,out,1,1321,39.6257,118.120189,河北
1327,1579392000,out,1,1327,38.252604,114.71153,河北
1333,1579305600,out,1,1333,38.066129,114.465388,河北
1333,1579737600,out,3,1333,38.066129,114.465388,河北
1334,1579478400,out,1,1334,38.010514,114.48447,河北
1334,1579564800,out,2,1334,38.010514,114.48447,河北
1352,1579046400,out,1,1352,32.500942,115.412152,河南
1355,1579737600,out,1,1355,32.144317,114.160266,河南
1358,1578700800,out,2,1358,32.128928,114.082245,河南
1358,1578873600,out,3,1358,32.128928,114.082245,河南
1358,1579392000,out,4,1358,32.128928,114.082245,河南
1358,1580342400,out,5,1358,32.128928,114.082245,河南
1363,1579564800,out,1,1363,35.314417,113.978667,河南
1372,1580083200,out,1,1372,34.443639,115.656869,河南
1394,1580083200,out,1,1394,32.998483,112.512129,河南
1395,1580083200,out,1,1395,33.067838,111.865908,河南
1435,1578700800,out,2,1435,39.328714,115.858912,河北
1435,1578873600,out,4,1435,39.328714,115.858912,河北
1435,1579219200,out,6,1435,39.328714,115.858912,河北
1436,1579651200,out,1,1436,39.289054,115.945041,河北
1437,1579478400,out,2,1437,38.863454,115.479882,河北
1438,1580428800,out,1,1438,38.864146,115.60163,河北
1465,1579219200,out,1,1465,19.983649,110.3432,海南
1465,1579564800,out,2,1465,19.983649,110.3432,海南
1465,1579737600,out,4,1465,19.983649,110.3432,海南
1466,1579219200,out,2,1466,19.941569,110.461373,海南
1466,1579737600,out,3,1466,19.941569,110.461373,海南
1485,1579132800,out,1,1485,36.62012,114.559179,河北
1568,1579651200,out,2,1568,46.804719,130.383246,黑龙江
1568,1579824000,out,3,1568,46.804719,130.383246,黑龙江
1568,1580169600,out,4,1568,46.804719,130.383246,黑龙江
1602,1579564800,out,2,1602,47.33966,123.995109,黑龙江
1602,1579996800,out,3,1602,47.33966,123.995109,黑龙江
1602,1580169600,out,4,1602,47.33966,123.995109,黑龙江
1655,1579219200,out,2,1655,44.590098,129.612947,黑龙江
1655,1580169600,out,3,1655,44.590098,129.612947,黑龙江
1655,1580256000,out,5,1655,44.590098,129.612947,黑龙江
