old_gis_id,id,name_simple,name,lat,long,state,transit,out,in,if_new
1077,1077,龙嘉,龙嘉火车站,43.992884,125.700132,吉林,火车,1,0,509
1086,1086,长春,长春火车站,43.911812,125.324188,吉林,火车,4,6,615
1087,1087,长春西,长春西火车站,43.877608,125.199952,吉林,火车,1,3,781
1093,1093,婺源,婺源火车站,29.239319,117.87542,江西,火车,0,2,546
1094,1094,上饶,上饶火车站,28.490266,118.007675,江西,火车,1,1,892
1105,1105,南昌,南昌火车站,28.662028,115.919161,江西,火车,4,4,15
1108,1108,南昌西,南昌西火车站,28.62249,115.792614,江西,火车,3,5,139
1109,1109,九江,九江火车站,29.704675,116.005874,江西,火车,1,0,951
1123,1123,瑞金,瑞金火车站,25.863577,116.055288,江西,火车,0,1,139
1138,1138,南丰,南丰火车站,27.286186,116.599617,江西,火车,1,0,761
1145,1145,江都,江都火车站,32.458487,119.577732,江苏,火车,0,2,604
1148,1148,扬州,扬州火车站,32.389628,119.351134,江苏,火车,2,2,604
1166,1166,双辽,双辽火车站,43.491973,123.518289,吉林,火车,0,2,548
1241,1241,敦化,敦化火车站,43.380036,128.246245,吉林,火车,0,1,615
1257,1257,通化,通化火车站,41.753202,125.980237,吉林,火车,0,1,258
1267,1267,梅河口,梅河口火车站,42.534818,125.685059,吉林,火车,1,0,258
1292,1292,焦作,焦作火车站,35.222864,113.234932,河南,火车,0,3,157
1300,1300,鹤壁东,鹤壁东火车站,35.706104,114.300088,河南,火车,0,1,262
1301,1301,安阳东,安阳东火车站,36.084648,114.452045,河南,火车,0,1,193
1303,1303,安阳,安阳火车站,36.10474,114.340546,河南,火车,0,3,15
1315,1315,邢台东,邢台东火车站,37.091564,114.591991,河北,火车,0,1,558
1316,1316,清河城,清河城火车站,37.063661,115.686525,河北,火车,0,4,84
1317,1317,邢台,邢台火车站,37.06985,114.492925,河北,火车,2,5,96
1321,1321,唐山,唐山火车站,39.6257,118.120189,河北,火车,1,2,596
1327,1327,正定机场,正定机场火车站,38.252604,114.71153,河北,火车,1,0,344
1333,1333,石家庄北,石家庄北火车站,38.066129,114.465388,河北,火车,3,0,244
